gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
DHX15,4,0.7463721929341723,0.07863086603303239,0.01069674746268642,5.454933289086782,45.00391038691814,9.492101900806047,2.2642188284775203e-21,4,0,1.0,0.7642139391541203,4.286859595420798e-10,0.324852873644895,0.999899862550801,0.7043737216176243,3.0608724449737533e-24,0.9253312784770574,1.4316478895113495e-14,3.559513728282982e-19,True
EIF2B5,4,0.5169795464932119,0.066889901928191,0.003034836106222508,3.5050512992112717,14.409241294839864,7.728813043382994,1.0855395905399511e-14,4,0,1.0,0.6171419322872697,0.000763778492581,0.24486431015755597,0.999899862550801,0.4533273532546064,5.935723330421256e-10,0.6676348933884555,5.662032377514969e-07,8.656391611664414e-13,True
DDX55,4,0.578179790645686,0.07534998776708957,0.0,2.121768324043608,0.0,7.673256596044416,1.6768357052520885e-14,4,0,1.0,0.7887067446153465,0.0013061262816256,0.424958364337623,0.880567188358822,0.5081331661666331,3.828780674010678e-06,0.6731133740324224,1.4235442178487222e-05,1.2994886280596203e-12,True
DHX36,4,0.42364561591400773,0.06633301440946761,0.0,2.6864409899448662,0.0,6.386648031685734,1.6956129086754557e-10,4,0,1.0,0.1743752487869281,0.5585215951596416,0.287010511881374,0.936884291487972,0.4379071884346543,1.500738159003773e-06,0.5698752226722509,0.0004722490309344,7.241904921354015e-09,True
DDX56,4,0.7332700226776628,0.13387237442686767,0.04327963480289833,9.058875880577638,66.88330826529985,5.477381168571388,4.3166670308329746e-08,4,0,1.0,0.5355141318440979,0.0407233369464334,0.338393792565534,0.999899862550801,0.7199829580114668,2.4792645412298503e-19,1.0537503860885171,1.4048325408785224e-16,1.1571927488623988e-06,True
EIF2B2,4,0.5099977717559405,0.1038792346878169,0.011375080708326409,3.9397996521044987,23.85399601734803,4.909525693836804,9.129693796678298e-07,3,1,0.75,0.3197481205790236,0.4840716211018952,-0.0084035162139308,0.999899862550801,0.4600389348876145,5.396857174182446e-07,0.7339615059872208,1.0694354238626364e-05,1.8814178911150997e-05,True
DHX58,3,-0.4791767446857303,0.10888896473461052,0.0,0.5415530770017029,0.0,-4.400599692113918,1.0795211644174761e-05,0,3,1.0,,,-0.221650163937969,0.999899862550801,-0.5359245175030803,0.000209769470317,-0.3694093919512439,0.0938435844811933,0.00017167038517098434,True
DDX39A,4,0.6484964286399547,0.1505345940017472,0.0520961167576511,8.675862253819396,65.42130439335523,4.3079561408484475,1.6477004668501823e-05,4,0,1.0,0.1558140913912757,0.73276044772882,0.155294321219057,0.999899862550801,0.7910800922135749,1.6647836506446717e-25,0.9285640112504514,4.4534361607219653e-10,0.0002480454143290401,True
RPS19P3,3,-1.2615105067485606,0.3083220619497859,0.0,1.3426769321212109,0.0,-4.09153499678532,4.2852726014623084e-05,0,3,1.0,-1.5282188105273633,0.508535470432201,,,-1.014358781754559,0.0168157625665353,-1.7941781031777948,0.0042836542640437,0.0005674763218145846,True
EIF5A2,4,1.2958054064350246,0.3297792564234803,0.22131365437328432,6.4293415644906835,53.3389232799665,3.929311444535003,8.51894458663484e-05,4,0,1.0,1.555477623977144,1.1092476331533515e-06,0.494337645608726,0.999899862550801,1.6606656420169126,0.0053243127241269,1.8613134736570096,0.0369130743889856,0.0010273613775739518,True
